year_month,homeless_count,average_temp,ZORI,unemployment_rate,evictions,covid,cpi,precipitation,shelter_beds,industrial_production
2014-01,430,61.3,,7.3,1161,0,1.6,,"7,866",99.9899
2014-02,536,61.2,,7.3,877,0,1.1,,"7,866",100.7471
2014-03,633,64.1,,7.1,809,0,1.5,,"7,866",101.7435
2014-04,582,65.2,,6.3,900,0,2,,"7,866",101.8273
2014-05,597,69.2,,6.2,899,0,2.1,,"7,866",102.2392
2014-06,652,68.4,,6.6,1017,0,2.1,,"7,866",102.5774
2014-07,689,73.6,,7,1007,0,2,,"7,866",102.7954
2014-08,,73.8,,6.7,962,0,1.7,,"7,866",102.6322
2014-09,,75.6,,6.2,1095,0,1.7,,"7,866",102.9417
2014-10,654,71.8,,6.1,1170,0,1.7,,"7,866",102.9611
2014-11,515,65.6,,5.9,,0,1.3,,"7,866",103.5978
2014-12,544,60.5,1646.352636,5.4,843,0,0.8,4.5,"7,866",103.6151
2015-01,678,60.8,1691.364813,5.9,1068,0,-0.1,0.42,"8,264",102.7923
2015-02,712,63.1,1705.063257,5.6,772,0,0,0.28,"8,264",102.1366
2015-03,732,66.6,1714.876725,5.4,823,0,-0.1,0.93,"8,264",101.7869
2015-04,693,65.8,1718.364462,5.1,873,0,-0.2,0.02,"8,264",101.2255
2015-05,625,64,1731.96045,5,824,0,0,2.39,"8,264",100.7675
2015-07,794,72.4,1755.188985,5.5,991,0,0.1,1.71,"8,264",100.4588
2015-08,679,75.1,1767.189186,5.3,948,0,0.2,0.01,"8,264",101.0893
2015-09,569,77.2,1778.088792,4.9,913,0,0.2,1.24,"8,264",100.9165
2015-10,658,74.4,1782.188054,5,922,0,0,0.43,"8,264",100.633
2015-11,764,63.3,1783.168127,4.9,848,0,0.2,1.54,"8,264",100.1563
2015-12,886,58.1,1788.169222,4.7,937,0,0.5,0.88,"8,264",99.4366
2016-01,668,58.5,1795.847283,4.8,908,0,0.7,3.21,"9,051",98.9471
2016-02,810,63.9,1801.91978,4.7,878,0,1.4,0.05,"9,051",99.4391
2016-03,831,62.7,1813.335853,4.8,833,0,1,0.76,"9,051",98.9232
2016-04,819,65.5,1818.662879,4.6,781,0,0.9,0.55,"9,051",98.1635
2016-05,1150,65,1828.366276,4.2,797,0,1.1,0.44,"9,051",98.4775
2016-06,1165,68.9,1844.578336,4.9,900,0,1,0,"9,051",98.2549
2016-07,1141,70.9,1859.199486,5,840,0,1,0,"9,051",98.7315
2016-08,1386,72.8,1869.608083,4.9,897,0,0.8,0,"9,051",98.8452
2016-09,1137,72,1869.631222,4.7,909,0,1.1,0.32,"9,051",98.7427
2016-10,1124,70.6,1873.856257,4.6,878,0,1.5,0.07,"9,051",98.6552
2016-11,1168,65.8,1874.693471,4.3,772,0,1.6,0.61,"9,051",98.7237
2016-12,1410,58.9,1877.834776,4.2,846,0,1.7,4.22,"9,051",98.3443
2017-01,875,57.9,1881.466523,4.6,952,0,2.1,3.01,"9,124",99.0406
2017-02,1023,59.6,1899.266107,4.3,749,0,2.5,3.71,"9,124",98.8158
2017-03,1099,62.7,1918.621353,4.1,849,0,2.7,0.08,"9,124",98.4356
2017-04,741,65.3,1938.449574,3.8,656,0,2.4,0.01,"9,124",99.0492
2017-05,769,64.9,1950.798038,3.6,892,0,2.2,0.92,"9,124",100.0416
2017-06,973,67.7,1964.332878,4.2,922,0,1.9,0.02,"9,124",100.128
2017-07,924,73,1979.480256,4.4,778,0,1.6,0,"9,124",100.337
